Acura;Integra;Small
Acura;Legend;Midsize
Audi;90;Compact
Audi;100;Midsize
BMW;535i;Midsize
Buick;Century;Midsize
Buick;LeSabre;Large
Buick;Roadmaster;Large
Buick;Riviera;Midsize
Cadillac;DeVille;Large
Cadillac;Seville;Midsize
Chevrolet;Cavalier;Compact
Chevrolet;Corsica;Compact
Chevrolet;Camaro;Sporty
Chevrolet;Lumina;Midsize
Chevrolet;Lumina_APV;Van
Chevrolet;Astro;Van
Chevrolet;Caprice;Large
Chevrolet;Corvette;Sporty
Chrylser;Concorde;Large
Chrysler;LeBaron;Compact
Chrysler;Imperial;Large
Dodge;Colt;Small